lat,lon,height
45.33379403,-75.72643737,0.000
45.33380255,-75.72645086,0.000
45.33379402,-75.7264374,0.000
45.33379395,-75.72644185,0.000
45.3337939,-75.72643332,0.000
45.33379403,-75.72643737,0.000
45.335584,-75.69063741,0.000
45.16055577,-75.59877142,0.000
45.15060342,-75.59302402,0.000
45.17498071,-75.54664559,0.000
45.16938815,-75.54339482,0.000
45.11838915,-75.51805008,0.000
45.22556725,-75.46740603,0.000
45.30464174,-75.51094215,0.000
45.30464166,-75.51092545,0.000
45.30467042,-75.51094326,0.000
45.30464382,-75.51094373,0.000
45.28761324,-75.50099387,0.000
45.28761467,-75.5009784,0.000
45.2011995,-75.45479443,0.000
45.24010365,-75.47500333,0.000
45.2687965,-75.49016664,0.000
45.18215893,-75.44466005,0.000
45.30075433,-75.50854394,0.000
45.2521891,-75.48111635,0.000
45.24981214,-75.48001241,0.000
45.19893496,-75.45369861,0.000
45.24506321,-75.45122086,0.000
45.37022163,-75.76763184,0.000
45.29361764,-75.88263059,0.000
45.30055729,-75.87485308,0.000
45.29994224,-75.87682931,0.000
45.29788345,-75.87915607,0.000
45.30022103,-75.87609674,0.000
45.26830717,-75.90507034,0.000
45.26833118,-75.90506374,0.000
45.272283,-75.89872864,0.000
45.27227375,-75.89871337,0.000
45.26574379,-75.90925543,0.000
45.25846757,-75.92087586,0.000
45.25846743,-75.92091247,0.000
45.25846917,-75.92091672,0.000
45.2535901,-75.92865891,0.000
45.40127958,-75.70993754,0.000
45.40126844,-75.70993342,0.000
45.35509713,-75.9172354,0.000
45.35435087,-75.91678516,0.000
45.25861825,-75.73227969,0.000
45.44239592,-75.67122386,0.000
45.44906105,-75.67410906,0.000
45.45681482,-75.68293335,0.000
45.45680586,-75.68291214,0.000
45.44464565,-75.67237682,0.000
45.27536613,-75.84040176,0.000
45.34825322,-75.92667122,0.000
45.24819897,-75.9276072,0.000
45.39864388,-75.7083478,0.000
45.39863775,-75.7083308,0.000
45.39866092,-75.70833475,0.000
45.35646136,-75.76823544,0.000
45.35362436,-75.76412418,0.000
45.35360639,-75.76413721,0.000
45.35361713,-75.76413812,0.000
45.35362219,-75.76411816,0.000
45.38273612,-75.72931693,0.000
45.3469728,-75.81674198,0.000
45.38588286,-75.60389988,0.000
45.38589356,-75.60390576,0.000
45.38441679,-75.6077081,0.000
45.38558158,-75.60462642,0.000
45.38377585,-75.61202144,0.000
45.38274608,-75.61386611,0.000
45.38240913,-75.61418819,0.000
45.36655733,-75.75131887,0.000
45.36654505,-75.75132958,0.000
45.36654652,-75.75132525,0.000
45.36049967,-75.80122302,0.000
45.35940692,-75.74662766,0.000
45.35811833,-75.75148388,0.000
45.32436661,-75.66071486,0.000
45.32435779,-75.6607276,0.000
45.32436904,-75.66071435,0.000
45.32237344,-75.6649734,0.000
45.35013416,-75.65490257,0.000
45.35015221,-75.65490231,0.000
45.35015227,-75.65491084,0.000
45.35015272,-75.65491378,0.000
45.35014385,-75.65491524,0.000
45.35015269,-75.654909,0.000
45.35015605,-75.65492116,0.000
45.35015115,-75.65490815,0.000
45.35014626,-75.65491093,0.000
45.35014407,-75.65490315,0.000
45.35014017,-75.65490248,0.000
45.3501795,-75.65489895,0.000
45.35014629,-75.65491519,0.000
45.35014137,-75.65491527,0.000
45.35014615,-75.65491512,0.000
45.35016946,-75.65491485,0.000
45.35013076,-75.65490448,0.000
45.35015393,-75.65490413,0.000
45.35014619,-75.6549024,0.000
